t,x,y,z
0.159024,876.492004,1444.839966,240.619995
0.168995,880.013,1391.949951,216.188004
0.189071,883.68396,1269.420044,161.822998
0.199012,886.432983,1210.650024,136.249008
0.217993,893.684021,1076.719971,83.212799
0.228005,894.619995,1001.160034,62.370098
0.268036,899.862976,767.281982,82.013695
0.277997,900.541016,693.19397,119.218002
0.298094,903.635986,615.634949,147.248001
0.308082,902.583008,565.476013,168.285004
0.31802,904.526001,517.317993,185.080002
0.328007,907.156006,462.713989,205.009003
0.386987,909.151978,154.789993,291.368011
0.397013,907.658997,125.253006,290.192017
0.407009,910.790039,65.956398,307.007996
0.437011,908.526001,-66.147095,315.556
0.447013,908.442017,-112.949997,318.085022
,,,
0,782.459961,2371.469971,500.792969
0.010001,782.166016,2304.469971,497.743011
0.019965,782.955017,2202.780029,499.963989
0.030001,782.070007,2196.800049,472.248993
0.03998,782.932983,2100.780029,470.162018
0.049999,786.070007,2026.540039,459.437012
0.059999,786.866028,1937.819946,455.233002
0.068982,786.947021,1836.72998,453.039001
0.098956,786.544983,1661.599976,402.020996
0.108987,786.929016,1587.969971,386.144012
0.118992,787.512024,1517.840088,372.184021
0.128995,788.21698,1463.900024,346.424011
0.139012,785.362,1409.780029,325.479004
0.148998,786.683044,1319.910034,316.924988
0.158991,785.188049,1258.689941,294.444
0.169036,785.421021,1199.48999,270.359009
0.178989,780.826965,1153.139893,240.714005
0.188979,781.020996,1097.26001,213.431992
0.199049,781.205994,1042.589966,186.647995
0.208981,780.518005,969.292969,162.625
0.227984,776.386047,838.606995,114.203995
0.247978,775.633972,725.269958,53.847801
0.25802,772.382996,680.342957,14.0134
0.26807,773.504028,591.755981,53.6651
0.277983,772.012024,549.822998,75.822098
0.288056,769.432007,515.445007,101.375
0.297955,768.015991,474.76001,124.545998
0.307981,766.524963,435.218994,145.382996
0.318048,765.226013,403.917023,160.580994
0.328055,763.421021,351.977997,188.911011
0.338042,762.722046,301.705017,209.931
0.348039,761.153992,259.869995,231.737
0.357001,759.491028,219.749008,246.334
0.367006,757.172974,161.080994,273.20401
0.376994,754.59198,129.841003,283.717987
0.387004,754.01001,86.931602,298.608978
0.397004,750.952026,45.382599,311.477997
0.406962,749.098022,-0.139594,326.478973
0.416994,747.313049,-38.956799,334.09198
0.427011,746.723022,-76.910698,341.639008
0.437003,744.869019,-118.542999,349.833008
,,,
0,767.382996,2311.880127,434.269989
0.009997,766.984985,2293.350098,438.557007
0.019997,766.452026,2183.599854,461.856995
0.030065,765.003967,2135.289795,461.997009
0.040074,763.203003,2069.51001,468.717987
0.050072,762.559998,2057.76001,458.377014
0.060007,761.541992,2028.150024,454.609009
0.070001,759.365967,1949.470093,463.001984
0.098997,757.452026,1839.640015,443.772003
0.109005,755.657043,1784.199951,441.30899
